"Markers"	"chrom"	"loc"
"1"	"Marker607"	"1A"	16730
"2"	"Marker2900"	"1A"	16730
"3"	"Marker1316"	"1A"	25338
"4"	"Marker2297"	"1A"	26595
"5"	"Marker1895"	"1A"	27071
"6"	"Marker2902"	"1A"	27071
"7"	"Marker1539"	"1A"	35232
"8"	"Marker2099"	"1A"	35232
"9"	"Marker3125"	"1A"	35232
"10"	"Marker2100"	"1A"	35653
"11"	"Marker2051"	"1A"	36735
"12"	"Marker1796"	"1A"	51095
"13"	"Marker1797"	"1A"	51943
"14"	"Marker3191"	"1A"	51943
"15"	"Marker149"	"1A"	55179
"16"	"Marker1403"	"1A"	56393
"17"	"Marker1404"	"1A"	56416
"18"	"Marker57"	"1A"	66313
"19"	"Marker1071"	"1A"	68829
"20"	"Marker1193"	"1A"	68829
"21"	"Marker1194"	"1A"	68829
"22"	"Marker3213"	"1A"	69519
"23"	"Marker472"	"1A"	69872
"24"	"Marker533"	"1A"	70102
"25"	"Marker547"	"1A"	70102
"26"	"Marker596"	"1A"	70102
"27"	"Marker702"	"1A"	70102
"28"	"Marker756"	"1A"	70102
"29"	"Marker757"	"1A"	70102
"30"	"Marker823"	"1A"	70102
"31"	"Marker902"	"1A"	70102
"32"	"Marker916"	"1A"	70102
"33"	"Marker939"	"1A"	70102
"34"	"Marker1054"	"1A"	70102
"35"	"Marker1165"	"1A"	70102
"36"	"Marker1166"	"1A"	70102
"37"	"Marker1210"	"1A"	70102
"38"	"Marker1290"	"1A"	70102
"39"	"Marker1303"	"1A"	70102
"40"	"Marker1345"	"1A"	70102
"41"	"Marker1383"	"1A"	70102
"42"	"Marker1384"	"1A"	70102
"43"	"Marker1388"	"1A"	70102
"44"	"Marker1389"	"1A"	70102
"45"	"Marker1438"	"1A"	70102
"46"	"Marker1446"	"1A"	70102
"47"	"Marker146"	"1A"	70102
"48"	"Marker1491"	"1A"	70102
"49"	"Marker1493"	"1A"	70102
"50"	"Marker1528"	"1A"	70102
"51"	"Marker1596"	"1A"	70102
"52"	"Marker1605"	"1A"	70102
"53"	"Marker1668"	"1A"	70102
"54"	"Marker1695"	"1A"	70102
"55"	"Marker1696"	"1A"	70102
"56"	"Marker1725"	"1A"	70102
"57"	"Marker1745"	"1A"	70102
"58"	"Marker1751"	"1A"	70102
"59"	"Marker1934"	"1A"	70102
"60"	"Marker1954"	"1A"	70102
"61"	"Marker1973"	"1A"	70102
"62"	"Marker1974"	"1A"	70102
"63"	"Marker2010"	"1A"	70102
"64"	"Marker2011"	"1A"	70102
"65"	"Marker2016"	"1A"	70102
"66"	"Marker2052"	"1A"	70102
"67"	"Marker2114"	"1A"	70102
"68"	"Marker2125"	"1A"	70102
"69"	"Marker2141"	"1A"	70102
"70"	"Marker2152"	"1A"	70102
"71"	"Marker202"	"1A"	70102
"72"	"Marker2229"	"1A"	70102
"73"	"Marker2245"	"1A"	70102
"74"	"Marker2260"	"1A"	70102
"75"	"Marker2263"	"1A"	70102
"76"	"Marker2276"	"1A"	70102
"77"	"Marker2289"	"1A"	70102
"78"	"Marker2290"	"1A"	70102
"79"	"Marker2340"	"1A"	70102
"80"	"Marker2393"	"1A"	70102
"81"	"Marker2453"	"1A"	70102
"82"	"Marker2482"	"1A"	70102
"83"	"Marker2545"	"1A"	70102
"84"	"Marker2549"	"1A"	70102
"85"	"Marker263"	"1A"	70102
"86"	"Marker3025"	"1A"	70102
"87"	"Marker3034"	"1A"	70102
"88"	"Marker3072"	"1A"	70102
"89"	"Marker3210"	"1A"	70102
"90"	"Marker3330"	"1A"	70102
"91"	"Marker3365"	"1A"	70102
"92"	"Marker3433"	"1A"	70102
"93"	"Marker3466"	"1A"	70102
"94"	"Marker3498"	"1A"	70102
"95"	"Marker3532"	"1A"	70102
"96"	"Marker3544"	"1A"	70102
"97"	"Marker3550"	"1A"	70102
"98"	"Marker3564"	"1A"	70102
"99"	"Marker371"	"1A"	70102
"100"	"IWA1882"	"1A"	70785
"101"	"Marker780"	"1A"	70785
"102"	"Marker984"	"1A"	70785
"103"	"Marker1068"	"1A"	70785
"104"	"Marker1867"	"1A"	70785
"105"	"Marker1868"	"1A"	70785
"106"	"Marker3000"	"1A"	70785
"107"	"Marker3246"	"1A"	70785
"108"	"Marker3422"	"1A"	70785
"109"	"Marker3584"	"1A"	70785
"110"	"IWA1357"	"1A"	70843
"111"	"IWA7715"	"1A"	70843
